Protein,n_proteins_ibaq,protein_score_ibaq,n_peptides_ibaq,ibaq_abundance_1_A0218_4I,ibaq_abundance_2_A0218_1I,ibaq_abundance_3_A0218_1A,ibaq_abundance_4_A0218_10D
sp|A0A075B6H7|KV37_HUMAN/sp|A0A0C4DH55|KVD07_HUMAN/sp|P01624|KV315_HUMAN,3,0.000761324704986677,1,1053629.71428571,2369411.57142857,118545.125,0
sp|A0A075B6I9|LV746_HUMAN/sp|P04211|LV743_HUMAN,2,0.00185322461082283,1,0,459656.8375,0,0
sp|A0A075B6P5|KV228_HUMAN/sp|A0A075B6S2|KVD29_HUMAN/sp|A0A075B6S6|KVD30_HUMAN/sp|A0A087WW87|KV240_HUMAN/sp|A0A0A0MRZ7|KVD26_HUMAN/sp|A2NJV5|KV229_HUMAN/sp|P01614|KVD40_HUMAN/sp|P01615|KVD28_HUMAN/sp|P06310|KV230_HUMAN,9,0.000492853622474125,1,5837163.71428572,0,208538.571428571,0
sp|A0A0A0MRZ8|KVD11_HUMAN/sp|P04433|KV311_HUMAN,2,0.000761324704986677,1,907305,2542457.57142857,0,0
sp|A0A0B4J1U7|HV601_HUMAN,1,0.0053475935828877,1,269685.444444445,0,0,0
sp|A0A0B4J1V0|HV315_HUMAN,1,0.000761324704986677,1,56583.8990384615,0,0,0
sp|A0A0C4DH41|HV461_HUMAN/sp|P01824|HV439_HUMAN/sp|P01825|HV459_HUMAN/sp|P06331|HV434_HUMAN/sp|P0DP06|HVD34_HUMAN/sp|P0DP08|HVD82_HUMAN,6,0.0023841961852861,1,0,210286.222222222,0,0
sp|A0AV96|RBM47_HUMAN,1,0.000492853622474125,1,21066.2833333333,0,0,0
sp|A0AVT1|UBA6_HUMAN,1,0.000492853622474125,3,26365.5247524753,25798.6305693069,0,0
sp|A0FGR8|ESYT2_HUMAN,1,0.000761324704986677,2,21998.7433628319,16478.1620575221,0,0
sp|A1A5D9|BICL2_HUMAN,1,0.0053475935828877,1,0,0,539.213324652778,0
sp|A2RRP1|NBAS_HUMAN,1,0.00479386385426654,2,5281.04471544716,575.607723577236,0,0
sp|A3KMH1|VWA8_HUMAN,1,0.000492853622474125,10,142247.219178082,36881.0433076484,0,0
sp|A3KN83|SBNO1_HUMAN/sp|Q9Y2G9|SBNO2_HUMAN,2,0.000492853622474125,1,0,7285.92613636364,0,0
sp|A4D1E9|GTPBA_HUMAN,1,0.00148698884758364,1,0,13661.8575,0,0
sp|A5YKK6|CNOT1_HUMAN,1,0.000492853622474125,6,22193.8563953488,43903.9411337209,3731.71308139535,0
sp|A6NHL2|TBAL3_HUMAN,1,0.000492853622474125,1,75420.2558139535,0,0,0
